disease,desc,cure
fever,"Fever is also known as Hyperthermia,Pyrexia or elevated temperature. It describes a body temperature that is higher than normal. Fever can affect children and adults.",Make sure that the room temperature is comfortable. Take regular bath. Have acetominophen(Tylenol) or Ibuprofen(Advil). Drink plenty of fluids.
flu,Influenza or Flu is a respiratory illness that results from a viral infection. Flu is highly contagious and it spreads through respiratory droplets. A person can pass it on while talking or through physical contact.,Stay at home. Keep warm and rest. Consume plenty of liquids and healthy foods. Avoid alcohol and smoking. Have Herbal teas.
asthama,"Asthma is a condition in which your airways narrow and swell and produce extra mucus. This can make breathing difficult and trigger coughing, wheezing and shortness of breath. For some people, asthma is a minor nuisance. a negative response to emotional stress can cause an asthma attack.","Accupuncture. Taking Herbs and natural supplements: magnesium, omega-3 fatty acids, and antioxidant supplements such as vitamin D and vitamins A, C, and E. Breathing exercises in yoga"
pneunomia,"Pneumonia is an infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus (purulent material), causing cough with phlegm or pus, fever, chills, and difficulty breathing. A variety of organisms, including bacteria, viruses and fungi, can cause pneumonia.","Control your fever with aspirin, nonsteroidal anti-inflammatory drugs (NSAIDs, such as ibuprofen or naproxen), or acetaminophen.Drink plenty of fluids,warm beverages. take steamy baths. Use a humidifier to ease breathing.Quit Smoking. Get lots of rest. Eating a varied diet rich in whole-food choices may help the body heal, and adequate liquid intake is essential. Water, herbal teas, soups, and broths are all easy ways to increase the liquid intake while recovering from pneumonia. Consume peppermint, Eucalyptus and fenugreek tea. Do saltwater gargle. Drink a small amount of caffeine."
dehydration,"Dehydration is a condition that can occur when the loss of body fluids, mostly water, exceeds the amount that is taken in. With dehydration, more water is moving out of individual cells and then out of the body than the amount of water that is taken in through drinking.","Acoid drinks containing caffeine such as coffee,tea or soda's.Water,electrolyte infused water, pedialyte,gatorade, wattermelon, coconut water.

"
food poisoning,"Food poisoning is an illness caused by eating contaminated food. It's not usually serious and most people get better within a few days without treatment. In most cases of food poisoning, the food is contaminated by bacteria, such as salmonella or Escherichia coli (E. coli), or a virus, such as the norovirus","Consume blander foods like cereal,rice,toast and bananas. Avoid fatty, sugary,spicy foods,caffeine,dairy products and alcohol. Oral Rehydration Salts (ORS) are recomended."
sorethroat,"Sore Throatis a pain or irritation in the throat that can occur with or without swallowing, often accompanies infections, such as a cold or flu .","Take rest. Consume comforting foods and beverages like tea, herbal tea or coffee. cold treats such as ice pops can soothen throat. drink plenty of fluids. Gargle with saltwater. Use Humidifier. Avoid irritants such as cigarette smoke stay away from them. "
ulcer,"A sore that develops on the lining of the oesophagus, stomach or small intestine.","Choose a healthy diet full of fruits, especially with vitamins A and C, vegetables, and whole grains. Not eating vitamin-rich foods may make it difficult for your body to heal your ulcer. Consume foods containing probiotics. Elimintae milk. Control stress. Dont smoke. Limit or avoid alcohol."
braintumor,"A brain tumor is a mass or growth of abnormal cells in your brain.Some brain tumors are noncancerous (benign), and some brain tumors are cancerous (malignant). ","Surgerry such as Radiation therapy, chemotherapy, targetted drug therapy and radiosurgery. Some complementary curing includes arttherapy, music, accunpuncture, meditation and relaxing exercise.Breathe in Frankincense Essential Oil, Hyperbaric Oxygen Therapy, Consume Cancer Fighting Phytonutrients,Ketogenic Diet,Calorie Restriction,Be Wary of Mobile Devices."
heartattack,A blockage of blood flow to the heart muscle.,"Be active,Quit smoking,Maintain a healthy diet. Have a check on cholestrol levels.Stress at bay,Diabetes check. Take Omega-3-fatty acids, pomegranate juice, capsaicin, ginger, garlic, holy basil, curcumin, alfalfa, green tea. Avoid alcohol. Do regular health check-ups. In case of heart pain Chew and swallow an aspirin."
dengue,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Drinking  sufficient water,juice of pappaya leaves,chew basil leaves,neem leaves. Consume orange juice
. keep a constant check on your platelet level.

"
fattyliver,An increased build-up of fat in the liver.Fatty tissue slowly builds up in the liver when a person's diet exceeds the amount of fat his or her body can handle. A person has a fatty liver when fatmakes up at least 5% of the liver 1.,"Alcohol avoidance, Physical exercise, Weight loss and Diabetes management. Eat a nutrient-rich diet that’s low in excess calories, saturated fat, and trans fats. Eat a diet that’s rich in plant-based foods, including fruits, vegetables, legumes, and whole grains. Limit your consumption of refined carbohydrates, such as sweets, white rice, white bread, other refined grain products. Limit your consumption of saturated fats, which are found in red meat and many other animal products. Avoid trans fats, which are present in many processed snack foods"
jaundice,"A yellow tint to the skin or eyes caused by an excess of bilirubin, a substance created when red blood cells break down.","Take iron supplements or eat more iron-rich foods. Hepatitis-induced jaundice requires antiviral or steroid medications. Doctors can treat obstruction-induced jaundice by surgically removing the obstruction. If the jaundice has been caused by use of a medication, treatment for involves changing to an alternative medication. Try to eat one or more servings of high-fiber food at each meal. Men should strive to eat 38 grams
Trusted Source
of fiber daily, and women should eat at least 25 GRAMS. 
"
viralfever,"A viral fever is any fever that's caused by an underlying viralillness. A variety of viral infections can affect humans, from the common cold to the flu.",Drink fluids. Get plenty of rest. Stay cool. Avoid too many blankets.
